ID,total.inf,total.areas,wing.inf,fur.inf,wing.areas,fur.areas,Trial,p.zero
0006C76169,0.1533,46,0.1313,0.2941,32,14,10,no
0007283AB7,0.1876,39,0.1473,0.4011,31,8,10,no
0006F246D9,0.1278,44,0.1037,0.2565,38,6,10,no
0006EB42F7,0.1376,39,0.0986,0.3154,28,11,10,no
0006F227CA,0.0753,45,0.0712,0.0985,35,10,10,no
0006EE4FA5,0.1454,63,0.1034,0.3919,52,11,10,no
0006C86599,0.2684,65,0.2312,0.4367,52,13,10,no
0006EA7863,0.3058,64,0.2745,0.4873,55,9,10,no
0006AA127F,0.1819,38,0.1172,0.5538,31,7,10,no
00069D1349,0.1216,41,0.0841,0.3262,32,9,10,no
0006C77BF4,0.1079,52,0.0681,0.3618,41,11,10,no
0006D76E62,0.1591,50,0.0903,0.4777,35,15,10,no
0006EE2405,0.1469,49,0.0973,0.3887,39,10,10,no
0006EE21E9,NA,NA,NA,NA,NA,NA,10,yes
00074F0993,0.1041,43,0.0384,0.4025,29,14,10,no
0006A941D6,0.4651,42,0.4235,0.6751,36,6,11,no
0006F219CA,0.2684,35,0.2185,0.5506,29,6,11,no
0006C75ECE,NA,NA,NA,NA,NA,NA,11,yes
0006F241DB,0.6326,22,0.6101,0.7598,20,2,11,no
0006D77323,0.1654,54,0.1087,0.4272,44,10,11,no
0006EA33BE,0.5346,37,0.4582,0.9009,35,2,11,no
0006C7673B,0.3387,36,0.2712,0.6783,31,5,11,no
0006F24D76,0.3498,33,0.2523,0.8689,31,2,11,no
0006E9150F,0.6237,40,0.5946,0.7918,38,2,11,no
0006E9AFB5,0.3306,47,0.2552,0.7354,40,7,11,no
0006EE186B,0.3745,33,0.3144,0.6853,30,3,11,no
0006EA374F,0.5043,32,0.458,0.7841,28,4,11,no
0006E022A0,0.3911,48,0.3166,0.8444,43,5,11,no
0006EE1641,0.412,34,0.3394,0.7895,32,2,11,no
0006C7673F,0.6485,31,0.61,0.8349,29,2,11,no
0006C7819D,0.2211,55,0.1753,0.5191,49,6,11,no
0006A94424,0.2417,32,0.2069,0.4119,26,6,12,no
0006EA4D46,0.2159,35,0.1961,0.3117,25,10,12,no
0006F23614,0.2948,26,0.2522,0.5458,22,4,12,no
0006E9FD91,0.3608,35,0.3483,0.4118,27,8,12,no
0006E93556,0.4023,27,0.346,0.6434,23,4,12,no
0006EA2FCD,0.2602,43,0.2312,0.4189,36,7,12,no
0006F23DA8,0.4596,23,0.4118,0.6867,20,3,12,no
0006C858A6,0.4651,30,0.4452,0.5562,26,4,12,no
0006E93571,NA,NA,NA,NA,NA,NA,12,yes
0006F20AE3,0.3339,34,0.2801,0.6482,29,5,12,no
0006D12DB5,0.2392,40,0.1911,0.456,34,6,12,no
0006DEC4F0,0.1675,41,0.1425,0.2939,36,5,12,no
0006C8A4A7,0.1988,45,0.1628,0.3752,33,12,12,no
0006EA3FAF,0.2359,31,0.1921,0.4664,26,5,12,no
0006DE9E91,0.3085,38,0.2974,0.3671,29,9,12,no
0006DEC8EF,0.1885,42,0.1681,0.3096,29,13,12,no
